7256	3
34	-2	-1909	
10361	1105	-12147	
5910	2991	-5887	
10314	1	-15056	
7770	4305	-18260	
5466	-959	-755	
6110	6496	-15942	
9905	-1704	1286	
6254	1132	-7769	
12950	269	-8288	
6964	26	-10139	
6692	5342	-9871	
11711	1409	-17701	
9927	10482	-33077	
6294	2056	-6836	
13066	3530	-6214	
12806	-3359	-3462	
7147	29	-11140	
12801	-3332	-3465	
8294	10227	-12561	
10988	2329	-18301	
8582	6684	-9963	
9336	-741	-3655	
9097	-1718	-691	
9210	-1251	-2592	
4945	7267	-15416	
10670	7671	-19918	
4317	2040	-7560	
8328	-603	-3571	
12697	-5396	-496	
8707	8579	-11937	
4858	6020	-13983	
12757	-4366	-3250	
9279	-663	-3786	
8610	6845	-9824	
5684	-150	-3599	
12865	-606	-5654	
7557	11991	-16489	
6399	1564	-11287	
6128	-166	-3570	
9707	168	-7529	
12806	-3359	-3462	
4686	2947	-12552	
6444	401	-7960	
5449	-561	-894	
6543	5710	-14319	
10671	699	-16370	
7629	8532	-24939	
10621	-262	-16705	
4906	7019	-13552	
4108	5366	-12336	
10530	5211	-19350	
