379	21
13755	73255712	-49082112	5376	71546096	-54643280	-32363	81339328	-93458792	-1273	34800324	-29620542	-21851	40635392	-43138656	12309	10266785	274344	1083	6573930	-1740284	
217986	302747648	20405822	202721	264132448	20104154	133056	160715088	6911862	67394	56975728	24059012	33255	35820124	11604997	23428	14117996	7500334	539	7761423	-1435625	
17787	45479520	-72372312	15335	42389860	-68416016	14024	33078324	-42794012	12016	21562846	-24797766	12912	16072557	-17070120	11727	10056646	-8966041	15104	2752066	-2154045	
318856	531720896	-207640640	308909	474275328	-186295152	246283	300241760	-105451064	144550	125583504	-46693940	103473	70390840	-29655134	60182	30635510	-14879160	25689	6898500	-4685282	
-134201	-203329904	52422948	-125258	-179511104	47360336	-90298	-113026848	16212956	-51690	-36662000	10058768	-31269	-18478832	846368	-15186	-6309958	-4295304	-564	-2047996	-5692359	
15688	28549660	-139998336	15055	25898910	-136529232	16407	15461219	-94642304	9320	2810353	-56518268	5965	-646152	-40820468	1616	-829890	-26249974	-1164	-927289	-10597426	
91682	154306816	-79508640	89774	137763648	-72413344	73781	86091840	-43891212	42114	33470770	-21985968	28830	17583824	-15541432	14656	7008774	-8743963	5643	1383479	-2271343	
375637	636079808	-140693936	363307	568383616	-119164464	284079	365680032	-58948992	173032	162071056	-14530660	127133	95407032	-4625607	80580	43007976	91855	37494	10354256	1727362	
151896	321658944	-167364896	140199	294897088	-167504432	74961	228677984	-191750688	82967	106709696	-64206984	43271	78964056	-75485472	56381	27174782	-3449091	13186	8271262	-1813096	
321494	612870528	-151272544	341197	552765312	-129548232	275510	356991616	-65821772	169175	158827328	-19263950	125348	93282984	-8435143	78379	41778484	-2198123	36279	10079624	440726	
467964	753600000	-59988228	448956	669473152	-41970728	343511	422299072	705245	203678	178401216	17554064	142084	102288888	18210690	86289	45682932	11015107	40143	10809275	4927736	
28405	98330056	89732944	29648	92940088	87763720	37436	71696640	79506368	45675	33943160	72222152	50107	12256163	71739888	1879	4232176	4526064	9106	1210344	1102957	
261768	427646592	-87330192	252962	380460992	-72714800	195801	240036512	-36429644	114194	102046488	-11728136	80756	58751324	-7403319	45909	27313816	-5178826	16656	10091411	-4265318	
225792	321239744	-74548096	210935	281247328	-67022664	143505	171149824	-40253336	72455	68506304	-18755740	33242	45525588	-22307646	21638	16784712	-9723122	-359	11105580	-5792257	
398306	638071872	47359140	382687	566367232	55728140	290816	356443200	47532224	172024	148487392	24278850	114779	85138752	11860576	71006	38424584	6133920	32737	9549126	2406091	
42923	60797472	-243351680	37818	53525308	-230958640	29674	32495614	-154492016	11718	13521606	-82222328	6880	9693715	-54762064	-2392	1847952	-28208002	-3378	3659380	-10183833	
38099	45533048	-258196480	33179	39138984	-245338432	25837	20747210	-166241968	9331	5106058	-88467824	4031	2511248	-59333824	-1969	3788052	-32028800	-4391	5811352	-11505597	
-132997	-253959216	64740256	-143661	-228986832	57024316	-116618	-146441776	35051164	-69829	-63695220	19124924	-50264	-37038592	12587228	-31114	-16285237	3610793	-14195	-3773772	-1087452	
282471	491054048	-105790704	274731	439967456	-87944448	218790	284970400	-39910288	135639	127008224	-7601278	100506	74438376	-1987974	62897	33150836	1002381	28647	7861603	1898109	
151636	223544992	69070712	144275	196453744	66997524	100958	120139656	46986668	48123	48467136	24949100	21941	33224940	11773248	18082	12883562	6724109	54	7820334	-1697933	
386533	627804416	-63426152	372789	558169152	-45041056	288050	351528672	-6430620	171933	144911120	16886548	114709	81139168	9923088	64449	36456024	1627290	16705	14083641	-4200517	
52592	143058560	200366944	53472	133258280	193962416	51245	100371296	154382928	48182	55928868	106056912	45759	34838012	86932960	8786	9718855	20677804	11273	4327714	5505457	
99279	212212912	-191203136	110504	193491568	-186430720	53807	140970400	-181792688	43141	64442076	-76554480	5877	54105004	-78946208	39670	20630818	-3372690	10199	6654510	-2873086	
13213	38163512	-5357004	12501	35865712	-8399496	3809	30222092	-30778584	18921	4557024	12984229	9622	-1957181	7239936	1433	-4061582	192133	-4842	-3017703	-2159917	
135157	241538176	19452688	131484	217041872	25053098	106814	142670192	35733708	62829	67805768	28430254	48440	43537448	19263414	33463	24127362	7347878	19375	9746412	-1989762	
12040	-20343480	-44712980	-5909	-21158268	-42567860	-10307	-14417538	-27543126	-8029	-5543778	-22676276	-4097	-2805367	-18908996	-2910	-267293	-12869845	859	496497	-6730416	
263403	443395168	-92241016	255098	395870496	-76693960	200024	253333600	-37264696	120521	110515104	-10126168	88101	64122852	-5182424	54028	28585192	-2252911	24752	6801163	-116826	
102790	232156464	-196968464	87319	214740080	-196221584	25383	181140640	-200940752	53173	76887872	-61248788	20548	60949624	-64321048	33644	20557162	-5768246	8215	8960900	-3941457	
46701	86106208	-52282624	46281	77641648	-48141456	39549	50510664	-32028442	25269	20588576	-14301215	17870	10927314	-8676260	9614	4197686	-4229556	2927	679494	-163126	
-66172	-143857248	-21893354	-61245	-132138360	-18348122	-37958	-101819880	1133704	-48569	-43338452	-23072850	-35383	-24531372	-15405218	-21000	-9910576	-7068853	-7717	-1979772	-3645108	
-130199	-208746272	70522600	-125416	-185301376	64442568	-95378	-116203904	44828648	-54112	-48076596	24228086	-35794	-28196800	16625789	-23352	-10941404	4957336	-8015	-2288894	-749860	
-140333	-228333808	30373168	-135645	-203035712	23109912	-105096	-128074608	7525275	-62192	-53891120	245964	-43657	-30401256	-2300831	-26307	-12510336	-6203486	-8929	-2837495	-6404572	
181209	389217152	-152466256	170087	356978784	-146882800	107147	271221344	-158192000	136440	118267808	20550966	94810	66765848	16004530	58172	28014076	9060758	22505	5751834	3634101	
95196	158899088	-17173268	91940	141769744	-11788648	72709	90482072	1220908	40361	40648956	2826971	29393	25527930	902274	19632	14071432	-4148657	11354	5639736	-7575516	
371701	635601472	80186528	359344	568404032	84363656	284638	367263904	77435080	175915	161860384	54262936	129634	94241056	36476968	80847	41751988	17302612	35936	9723284	5427202	
231415	462456832	-180402688	215857	421445696	-171627392	131908	313916704	-166768752	139818	132477808	-8970711	92803	81173296	-3382371	62560	36026520	1378583	21188	13109856	-3923256	
207032	280618368	-75099072	198333	243467264	-67694112	136360	139012800	-66414440	41365	60121924	-87233208	111	51600232	-104092440	40357	21342988	-5130752	8786	7788470	-4272123	
363086	624797696	51754416	353260	559027776	60500936	282561	359914976	64321088	172437	156864032	43768548	124881	90861600	29065016	75964	40475388	14106524	34985	9951469	4386076	
176532	224284032	-88752016	167006	192801632	-79666520	101877	109302544	-84238168	9074	59684472	-111539016	-33776	66185872	-131796656	50873	29181602	8698228	12893	11460102	-102674	
