-135330	-240391600	-6958896	-131618	-215874752	-7641604	-106497	-141279584	-7004210	-68058	-63249760	-8153894	-49688	-36996592	-6985078	-29822	-16782026	-4659353	-10630	-5618940	-2540770
-105347	-199981776	-72007064	-104861	-180634608	-70032888	-88864	-119445728	-55018424	-58925	-53637008	-36873880	-42828	-30979452	-28950196	-25509	-12943260	-22294620	-6780	-4090382	-14000344
-111854	-193729808	-43679172	-108181	-173514480	-44799552	-85028	-113208496	-39761952	-55862	-50558048	-25819032	-40240	-29132368	-20202500	-23569	-12556172	-16491637	-7792	-3940421	-10805518
-140333	-228333808	30373168	-135645	-203035712	23109912	-105096	-128074608	7525275	-62192	-53891120	245964	-43657	-30401256	-2300831	-26307	-12510336	-6203486	-8929	-2837495	-6404572
-146047	-240840432	54561664	-141148	-214498144	48206168	-110659	-135701888	29269206	-65880	-57249328	14756906	-46435	-32322588	8862065	-27151	-13769849	1480162	-10390	-3429290	-2070354
494524	850862208	-21479842	479118	761521472	-6067784	380117	492828704	22207830	232408	218319728	29035062	168703	129442528	19436376	104202	61213304	5022100	42374	20783980	-4345460
-111713	-179484352	34223036	-106129	-159495360	30259592	-78931	-101937312	3712764	-43158	-36434232	-345033	-23199	-22096962	-7286016	-17316	-8455199	-7055684	-2934	-2898742	-6501722
-101926	-188157344	-34066592	-101646	-169413648	-33187396	-84697	-110342744	-21376566	-52208	-47559892	-11800841	-31929	-29085860	-5771029	-22822	-11274566	-7200106	-5136	-3638741	-8637860
276659	436699552	-70567256	269141	386713216	-50941164	204768	238086304	-9935026	110125	95830376	8858044	70717	55625260	5511279	41494	20551860	7232544	8000	7164252	-3534056
371632	609556352	-28598826	358069	542625344	-12946098	274920	344580672	21002092	159679	146137648	24599512	104546	87849064	14359486	67935	37396692	10829240	22764	12607002	-1509954
-99873	-169200816	-39404200	-98834	-150895760	-38852024	-79970	-94317984	-27425614	-45766	-36103748	-16210384	-22709	-21508030	-8830624	-17181	-6879626	-8426897	-1245	-1860965	-7461231
-102190	-188523296	-33257016	-101883	-169732608	-32420738	-84876	-110532120	-20873520	-52296	-47638320	-11542120	-31992	-29133282	-5585650	-22855	-11296256	-7120143	-5150	-3648549	-8592955
70066	165852032	-109971704	62200	153774016	-108492624	22729	127941800	-109859448	61276	42694576	1073471	36830	21043368	1151301	18717	7408057	667398	4375	988108	-118549
-83513	-170897648	10694540	-77936	-156094992	10602867	-55074	-115289520	5999085	-51596	-50138752	-19256634	-39469	-29847148	-15516155	-24723	-12931830	-9832433	-10001	-3268270	-4671598
-137847	-217232048	60901436	-128990	-192735968	55656624	-94402	-123762976	23464608	-56256	-43514972	15881133	-36032	-23220196	5901698	-20199	-8462000	-204830	-5813	-1310164	-2652694
-131761	-220251776	54950388	-122598	-196894464	50765000	-91314	-131149632	21159872	-57258	-50289360	13773562	-40161	-28713968	4347021	-23844	-12165702	-1527912	-9521	-2941490	-3977918
-169652	-290293344	82032112	-161132	-259937696	73062416	-124637	-171311504	32777242	-78495	-71483696	14911030	-58103	-41265204	5328609	-34370	-18030096	-3173029	-13824	-4621360	-3706144
-143111	-236848832	90889568	-135797	-211271008	83472336	-103579	-137058128	43789768	-63483	-51221680	21980542	-41488	-28095196	8872123	-23343	-11302392	1463154	-8389	-2520149	-2184237
-48220	-111707304	-41810360	-52561	-102672992	-36566872	-28962	-77374896	-8153266	-23658	-38532184	-8488467	-8366	-31616376	1315197	-21938	-11818466	-9228857	-7255	-3752790	-4064980
23266	92455536	-95615872	40364	87320192	-98326960	-93	73847080	-116555432	2516	34905640	-46665260	-22662	40123912	-57311696	17745	10600032	1474940	2021	5076602	-986996
-125174	-240221728	36253084	-136043	-216671392	28984162	-109689	-139013712	13718578	-66501	-60821088	5166903	-47847	-35413848	2016234	-30377	-15350759	-2579002	-12896	-3419164	-3499228
-132997	-253959216	64740256	-143661	-228986832	57024316	-116618	-146441776	35051164	-69829	-63695220	19124924	-50264	-37038592	12587228	-31114	-16285237	3610793	-14195	-3773772	-1087452
404085	756097280	57798464	435355	680172160	67694728	350879	430950208	70745232	207374	181673280	51610944	145345	103598648	34376980	85951	45215172	17297524	38261	10753394	5802689
441239	865665920	-20827098	472430	782998336	-6034560	387880	510567200	20352584	241981	228182544	30029106	178858	134811424	22121354	114927	61005224	9851254	53583	14520000	2529223
383434	719493504	-125771872	412825	647644224	-105423088	328059	412928928	-56653980	197775	178683488	-16838828	141742	103201704	-6470157	85634	46394492	-346606	40334	11448596	1899152
-86224	-190157440	-80638472	-100291	-173358576	-77792232	-86494	-113360808	-59100328	-57246	-49415272	-40670608	-40617	-27642542	-31521754	-24205	-10232262	-21024594	-7302	-1514560	-11205442
-89583	-212294912	-64524108	-104851	-194787648	-62432488	-93482	-131000160	-47107408	-63779	-60918128	-30433300	-47813	-36039404	-23249632	-30664	-15327055	-17452682	-12067	-3536540	-10116508
-87033	-207714688	-66005664	-102326	-190670512	-63721592	-91435	-128317696	-47841756	-62493	-59713200	-30726294	-46847	-35334656	-23416040	-30076	-15012452	-17523858	-11796	-3457310	-10138016
-92267	-216592576	-63083120	-107280	-198614208	-61252128	-95390	-133483680	-46459464	-64971	-62029104	-30185294	-48714	-36685404	-23115692	-31198	-15612512	-17404746	-12313	-3608860	-10100585
